advisory_id,scope_type,scope_value,kind,severity,summary,location,detail,observed_date,starts,ends,until_further_notice,source_url,verified_date,log_entry_ids,scope_display
chabot-storm-trails-2026,park,Anthony Chabot Regional Park,trail_closure,caution,Storm damage: Willowview Trail closed; Redtail Trail closed between Brandon and Grass Valley; 300 feet of Brandon Trail inaccessible to equestrians.,Willowview Trail; Redtail Trail; Brandon Trail between Horseshoe Trail and Stone Bridge,EBRPD asks riders to plan alternative routes on the Brandon stretch. No reopening date given for any of the three.,2026-09-15,,,True,https://www.ebparks.org/alerts-closures,2026-09-16,none-2026-09-16-15,Anthony Chabot Regional Park
chabot-bird-trail-reroute,park,Anthony Chabot Regional Park,trail_closure,info,A section of Bird Trail is PERMANENTLY closed; the trail no longer forms its own loop.,Bird Trail,"Re-routed since 2025-08-04 to connect back to MacDonald Trail, giving a smaller loop in combination with it. Recorded as an advisory because that is where EBRPD publishes it, but it is permanent rather than a condition -- it will not expire, and a map older than August 2025 shows a loop that is not there.",2026-09-15,2025-08-04,,True,https://www.ebparks.org/alerts-closures,2026-09-16,none-2026-09-16-15,Anthony Chabot Regional Park
briones-crest-damage-2026,park,Briones Regional Park,trail_closure,caution,"Trail damage at two Briones Crest junctions -- passable with care, not closed.",Briones Crest Trail / Mott Peak Trail and Briones Crest Trail / Lagoon Trail junctions,Barricades and cones are posted at both ends of the fire trail. EBRPD asks users to follow signage and use caution. Kept as caution rather than a closure because the agency's own wording is 'damaged but passable'.,2026-09-15,,,True,https://www.ebparks.org/alerts-closures,2026-09-16,none-2026-09-16-15,Briones Regional Park
sunol-shady-glen-closure,park,Sunol Regional Wilderness,trail_closure,caution,Shady Glen Trail is closed.,Shady Glen Trail,"No reason or reopening date given. Sunol Backpack Camp sits on the Ohlone Wilderness Trail in this preserve, so a route planned through Shady Glen needs an alternative.",2026-09-15,,,True,https://www.ebparks.org/alerts-closures,2026-09-16,none-2026-09-16-15,Sunol Regional Wilderness
round-valley-hardy-canyon,park,Round Valley Regional Preserve,trail_closure,caution,"Hardy Canyon Trail is closed until further notice, for storm damage.",Hardy Canyon Trail,"Round Valley Backpack Camp is in this preserve and its water supply is separately out of service; that outage is in the water ledger rather than here, because water availability has a table of its own that records dated checks.",2026-09-15,,,True,https://www.ebparks.org/alerts-closures,2026-09-16,none-2026-09-16-15,Round Valley Regional Preserve
del-valle-algae-west,park,Del Valle Regional Park,water_quality,caution,Caution Advisory for blue-green algae at the WEST swim beach.,Del Valle West Swim Beach,"Blue-green algae advisories move between caution and danger week to week and clear faster than a month, so this is among the shortest-lived facts in this project. Ordinance 38 s.801.1 already bars every animal from bathing beaches, leashed or not, so a dog or cat is not affected by the advisory -- it was never allowed there.",2026-09-15,,,True,https://www.ebparks.org/alerts-closures,2026-09-16,none-2026-09-16-15,Del Valle Regional Park
del-valle-algae-east,park,Del Valle Regional Park,water_quality,caution,Caution Advisory for blue-green algae at the EAST swim beach.,Del Valle East Swim Beach,Posted separately from the west beach; the two are advised independently.,2026-09-15,,,True,https://www.ebparks.org/alerts-closures,2026-09-16,none-2026-09-16-15,Del Valle Regional Park
del-valle-mussel-quarantine,park,Del Valle Regional Park,facility,caution,Golden mussels detected at Contra Loma: a boat launched there is quarantined for 30 days from Del Valle and other inspected lakes.,Boat launch and inspection,"Clean, drain and dry any vessel before launching anywhere. Boat bands are honoured only at the lake that issued them. Recorded against Del Valle rather than Contra Loma because Del Valle is the park this project holds; the detection itself is at Contra Loma, which is also where Star Mine Group Camp parties park, and neither Contra Loma nor Lake Chabot has a row here for their own advisories to attach to.",2026-09-15,,,True,https://www.ebparks.org/alerts-closures,2026-09-16,none-2026-09-16-15,Del Valle Regional Park
garin-dry-creek-garden,park,Garin Regional Park,area_closure,info,"Dry Creek Garden is closed until further notice, for storm damage.","Dry Creek Garden, end of May Road, Union City","Posted on the park page as 'Due to storm damage Dry Creek Garden is closed until further notice.' The garden's published hours are Thursday to Saturday 10am-4pm, so the hours and the closure sit on the same page and only the closure is current. Rated INFO rather than caution because it shuts an attraction, not a route or a camp: nothing about Arroyo Flats depends on it. It does close one of the park's two disabled-parking areas, the Dry Creek Garden lot at the end of May Road in Union City -- whether that lot is closed with the garden is not stated. The fourth storm-damage closure in this table, after two at Anthony Chabot, one at Briones and one at Round Valley. THE GARDEN IS ACTUALLY IN THE ADJOINING PARK, which this row did not know when it was written. Dry Creek Pioneer's address is 550 May Road, Union City, the garden sits at the end of May Road, and the shared map puts MEYERS DRY CREEK GARDEN in the Dry Creek Pioneer half. IT STAYS SCOPED TO GARIN, deliberately, and a second row scoped to Dry Creek Pioneer was written and then deleted: nothing in this dataset sits in Dry Creek Pioneer, so an advisory scoped there can never reach a plan, and EBRPD posts this closure on Garin's page anyway. A row nobody can be shown is filing-cabinet work. What would fix the scope properly is a unit that can name a paired parkland -- two parks with one map, one phone extension and one combined acreage. DRY CREEK PIONEER'S OWN PAGE IS MORE SPECIFIC THAN GARIN'S: 'The garden is currently closed due to storm damage. An estimated reopening is not yet determined.' No estimate is a stronger statement than 'until further notice' -- it says EBRPD has been asked and does not know. This advisory will therefore never expire on its own; it will go stale and report its age. THE ADJACENT IRIS GARDEN IS NOT CLOSED: open seasonally in spring, usually two months, Thursdays to Sundays 10am-4pm, and the map marks it 'Open in spring'. The main garden's suspended hours are Thursday to Saturday 10am-4pm.",2026-09-16,,,True,https://www.ebparks.org/parks/garin,2026-09-16,none-2026-09-16-21; none-2026-09-16-33,Garin Regional Park
reinhardt-stream-trail-repairs,park,Dr. Aurelia Reinhardt Redwood Regional Park,trail_closure,caution,Stream Trail is closed for repairs from Trail's End through Fern Trail.,"Stream Trail, Trail's End through Fern Trail","'Sections of the Stream Trail ... will be closed for repairs beginning Mon., Aug. 24, 2026 from Trail's End through Fern Trail.' THE FIRST ADVISORY HERE WITH A START DATE. Every other row in this table was already in force when it was read, so `starts` has never carried a value; this one began three weeks before it was read and the field finally earns its place. NO END IS PUBLISHED, so it is filed open-ended and will report its age rather than expiring. WHAT IT SHUTS: Stream Trail is the park's valley-floor spine, and the map puts Trail's End, Big Bend Meadow, Orchard, Old Church and Fern Dell along it -- named places some of which are reservable picnic sites and some of which may be the 'several' group camps the park page claims. Until those are told apart, whether this closure reaches a camp is unknown, which is a reason to find out rather than a reason to rate it lower. The children's play structure a quarter mile down Stream Trail from Canyon Meadow is on this trail too. EBRPD dates the notice 'Updated September 16, 2026', the day it was read.",2026-09-16,2026-08-24,,True,https://www.ebparks.org/parks/reinhardt-redwood,2026-09-16,none-2026-09-16-35,Dr. Aurelia Reinhardt Redwood Regional Park
