facility_id,operator,slug,facility_name,land_agency,agency_id,url,verified_date,notes,log_entry_ids
EB/110003,ReserveAmerica,del-valle,,East Bay Regional Park District,ebrpd,https://www.reserveamerica.com/explore/del-valle/EB/110003/overview,2026-09-16,"Sells Del Valle's family campground, its three group camps, its two horse camps and the two sites known only from its closure list. It does NOT sell Del Valle's four Ohlone backpack camps, which are under EB/110028 -- one park, two facilities, and the reason a campground carries this key rather than inheriting one from its park. ITS CAMPSITES PAGE RUNS TO 155 SITES OVER SEVERAL PAGES AND ONE PAGE WAS READ. A URL WAS ONCE FABRICATED FOR THIS FACILITY: 'del-valle-regional-park/EB/110455' -- a slug this project constructed and an ID that belongs to Las Trampas. ONE OF THE THREE SHORT-SLUG, LOW-ID FACILITIES -- anthony-chabot 110004, del-valle 110003, sunol 110028 -- against the nine long descriptive slugs numbered 110451-110459 and dumbarton-quarry-campground-on-the-bay 110750. The split is recorded as an observation, not a rule: reading the short group as 'sells family camping online' is the kind of pattern this project has twice followed into a wrong answer. See none-2026-09-16-55.",none-2026-09-16-54; none-2026-09-16-55
EB/110004,ReserveAmerica,anthony-chabot,,East Bay Regional Park District,ebrpd,https://www.reserveamerica.com/explore/anthony-chabot/EB/110004/overview,2026-09-16,"Sells the 75-site family campground across loops A, B, C, D and F and the seven group camps behind the group camp gate. A URL WAS ONCE FABRICATED FOR THIS FACILITY: 'anthony-chabot-regional-park/EB/110448' -- neither the slug nor the ID was close. ONE OF THE THREE SHORT-SLUG, LOW-ID FACILITIES -- anthony-chabot 110004, del-valle 110003, sunol 110028 -- against the nine long descriptive slugs numbered 110451-110459 and dumbarton-quarry-campground-on-the-bay 110750. The split is recorded as an observation, not a rule: reading the short group as 'sells family camping online' is the kind of pattern this project has twice followed into a wrong answer. See none-2026-09-16-55.",none-2026-09-16-54; none-2026-09-16-55
EB/110028,ReserveAmerica,sunol,Sunol,East Bay Regional Park District,ebrpd,https://www.reserveamerica.com/explore/sunol/EB/110028/overview,2026-09-16,"THE FACILITY THAT IS NOT A PARK. It sells nineteen backpack sites across THREE parks under one listing -- Sunol Regional Wilderness, Mission Peak Regional Preserve and the Ohlone corridor camps this table files under Del Valle Regional Park. Park-to-facility is not one-to-one in either direction, and this row is the proof in one direction while Del Valle's two facilities are the proof in the other. ITS PUBLISHED TITLE IS 'Sunol', NOT ITS PARK'S NAME: not Sunol Regional Wilderness, not Sunol Wilderness Regional Preserve, just the name the slug also uses. It renders as 'Sunol, CA' on the page. This is the only facility here whose published title has been read, and it is the one that shows a slug is not a name. ONE OF THE THREE SHORT-SLUG, LOW-ID FACILITIES -- anthony-chabot 110004, del-valle 110003, sunol 110028 -- against the nine long descriptive slugs numbered 110451-110459 and dumbarton-quarry-campground-on-the-bay 110750. The split is recorded as an observation, not a rule: reading the short group as 'sells family camping online' is the kind of pattern this project has twice followed into a wrong answer. See none-2026-09-16-55.",none-2026-09-16-47; none-2026-09-16-49; none-2026-09-16-54; none-2026-09-16-55
EB/110451,ReserveAmerica,briones-regional-park,,East Bay Regional Park District,ebrpd,https://www.reserveamerica.com/explore/briones-regional-park/EB/110451/overview,,"ONE OF THE NINE LONG-SLUG FACILITIES NUMBERED 110451-110459. Its overview page has not been read here; what is known comes from the per-site /campsite-booking URLs underneath it, which carry the facility in their path. facility_name is blank for that reason -- see EB/110028, where the published title turned out to be 'Sunol' and the slug is 'sunol', so a slug is not a name even when it looks like one.",none-2026-09-16-55
EB/110452,ReserveAmerica,black-diamond-mines-regional-preserve,,East Bay Regional Park District,ebrpd,https://www.reserveamerica.com/explore/black-diamond-mines-regional-preserve/EB/110452/overview,,"ONE OF THE NINE LONG-SLUG FACILITIES NUMBERED 110451-110459. Its overview page has not been read here; what is known comes from the per-site /campsite-booking URLs underneath it, which carry the facility in their path. facility_name is blank for that reason -- see EB/110028, where the published title turned out to be 'Sunol' and the slug is 'sunol', so a slug is not a name even when it looks like one.",none-2026-09-16-55
EB/110453,ReserveAmerica,coyote-hills-regional-park,,East Bay Regional Park District,ebrpd,https://www.reserveamerica.com/explore/coyote-hills-regional-park/EB/110453/overview,,"COYOTE HILLS HAS TWO FACILITIES. This one sells Dairy Glen; Dumbarton Quarry, which this project files inside Coyote Hills over the objection of three other sources, has its own at EB/110750. ONE OF THE NINE LONG-SLUG FACILITIES NUMBERED 110451-110459. Its overview page has not been read here; what is known comes from the per-site /campsite-booking URLs underneath it, which carry the facility in their path. facility_name is blank for that reason -- see EB/110028, where the published title turned out to be 'Sunol' and the slug is 'sunol', so a slug is not a name even when it looks like one.",none-2026-09-16-32; none-2026-09-16-54; none-2026-09-16-55
EB/110454,ReserveAmerica,garin-regional-park,,East Bay Regional Park District,ebrpd,https://www.reserveamerica.com/explore/garin-regional-park/EB/110454/overview,,"ONE OF THE NINE LONG-SLUG FACILITIES NUMBERED 110451-110459. Its overview page has not been read here; what is known comes from the per-site /campsite-booking URLs underneath it, which carry the facility in their path. facility_name is blank for that reason -- see EB/110028, where the published title turned out to be 'Sunol' and the slug is 'sunol', so a slug is not a name even when it looks like one.",none-2026-09-16-55
EB/110455,ReserveAmerica,las-trampas-regional-wilderness,,East Bay Regional Park District,ebrpd,https://www.reserveamerica.com/explore/las-trampas-regional-wilderness/EB/110455/overview,,"THE ID THIS PROJECT ONCE ATTACHED TO DEL VALLE. A fabricated citation read 'del-valle-regional-park/EB/110455'; 110455 is this facility and Del Valle is EB/110003. Kept in mind here because the two rows are the reason the slug-to-ID guard exists. ONE OF THE NINE LONG-SLUG FACILITIES NUMBERED 110451-110459. Its overview page has not been read here; what is known comes from the per-site /campsite-booking URLs underneath it, which carry the facility in their path. facility_name is blank for that reason -- see EB/110028, where the published title turned out to be 'Sunol' and the slug is 'sunol', so a slug is not a name even when it looks like one.",none-2026-09-16-54; none-2026-09-16-55
EB/110456,ReserveAmerica,morgan-territory-regional-preserve,,East Bay Regional Park District,ebrpd,https://www.reserveamerica.com/explore/morgan-territory-regional-preserve/EB/110456/overview,,"ONE OF THE NINE LONG-SLUG FACILITIES NUMBERED 110451-110459. Its overview page has not been read here; what is known comes from the per-site /campsite-booking URLs underneath it, which carry the facility in their path. facility_name is blank for that reason -- see EB/110028, where the published title turned out to be 'Sunol' and the slug is 'sunol', so a slug is not a name even when it looks like one.",none-2026-09-16-55
EB/110457,ReserveAmerica,point-pinole-regional-shoreline,,East Bay Regional Park District,ebrpd,https://www.reserveamerica.com/explore/point-pinole-regional-shoreline/EB/110457/overview,,"ONE OF THE NINE LONG-SLUG FACILITIES NUMBERED 110451-110459. Its overview page has not been read here; what is known comes from the per-site /campsite-booking URLs underneath it, which carry the facility in their path. facility_name is blank for that reason -- see EB/110028, where the published title turned out to be 'Sunol' and the slug is 'sunol', so a slug is not a name even when it looks like one.",none-2026-09-16-55
