name,list,section,class,emblem,mountaineers,mileage_rt,gain_ft,loss_ft,trailhead,quad,benchmark,benchmark_rating
Smith Mountain,SPS,1.1,2,False,False,1.4,995.0,,SNF 21S36,Monache Mtn.,False,
English Mountain,SPS,24.6,2,False,False,1.9,1300.0,,Tollhouse Lake,English Mtn.,False,
Lamont Peak,SPS,1.4,2,False,False,1.9,2560.0,330.0,Lamont Peak Trail,Lamont Peak,False,
Independence Peak,SPS,9.2,3,False,False,2.0,2595.0,45.0,Robertson Lake Trail,Kearsarge Peak,False,
Taylor Dome,SPS,1.7,2s3,False,False,2.3,1155.0,185.0,Big Meadows Trail,Cannell Peak,False,
Dunderberg Peak,SPS,22.5,2,False,False,2.3,2745.0,180.0,Virginia Lakes Trail,Dunderberg Peak,False,
Cathedral Peak,SPS,21.1,3s4,False,True,2.9,2440.0,100.0,Tuolumne Meadows,Tenaya Lake,True,S-4.0
Adams Peak,SPS,24.9,2,False,False,3.0,1885.0,,Forest service road,Constantia,False,
Round Top,SPS,23.7,3,False,False,3.1,2320.0,150.0,Wood Lake Trail,Carson Pass,True,S-3.0
Mount Dana,SPS,21.8,1,False,False,3.1,3440.0,325.0,Tioga Pass,Mount Dana,True,S-1.1
Sierra Buttes,SPS,24.7,1,False,False,3.2,2485.0,125.0,Forest Route 93,Sierra City,False,
Kearsarge Peak,SPS,9.3,1,False,False,3.2,3855.0,190.0,Old mining trail,Kearsarge Peak,False,
Sirretta Peak,SPS,1.8,1,False,False,3.3,2215.0,70.0,Cannell Meadows Trail 33E22,Sirretta Peak,False,
Mount Conness,SPS,22.2,2,False,False,3.3,2860.0,370.0,Saddlebag Lake,Tioga Pass,False,
Mount Elwell,SPS,24.8,1,False,False,3.4,2080.0,820.0,Lake Basin campground,Gold Lake,False,
Mount Gibbs,SPS,21.7,1,False,False,3.5,3195.0,110.0,Mono Pass Trail,Mount Dana,True,S-1.2
Owens Peak,SPS,1.2,2,False,False,3.5,3200.0,145.0,Indian Wells Canyon,Owens Peak,False,
Dragon Peak,SPS,9.1,3s4,False,False,3.5,4020.0,280.0,Golden Trout Lakes Trail,Kearsarge Peak,False,
Mount Warren,SPS,22.1,1,False,False,3.5,4515.0,,Lundy Lake,Mount Dana,False,
Moses Mountain,SPS,2.5,3,False,False,3.7,3510.0,100.0,Long Meadow Trail,Moses Mountain,False,
Pilot Knob (S),SPS,1.1,2,False,False,3.7,3610.0,120.0,Dirt road,Onyx,False,
University Peak,SPS,9.1,2,False,True,3.9,4540.0,150.0,Kearsarge Pass Trail,Mount Williamson,False,
Mount Morrison,SPS,18.8,2,False,True,4.0,4870.0,240.0,Convict Lake,Convict Lake,True,S-2.2
Sawtooth Peak (S),SPS,1.5,2,False,False,4.1,2445.0,,Pacific Crest Trail,Nine Mile Canyon,False,
Castle Peak,SPS,24.3,1s3,False,False,4.2,2235.0,360.0,Boreal Ridge Parking,Nordon,False,
North Peak,SPS,22.3,2,False,False,4.2,2630.0,490.0,Saddlebag Lake,Tioga Pass,False,
Stanislaus Peak,SPS,23.3,1,False,False,4.2,2570.0,755.0,St. Mary's Pass Trail,Disaster Peak,False,
Mount Carillon,SPS,5.4,2,False,False,4.2,5465.0,250.0,Mount Whitney Trail,Mount Whitney,False,
North Maggie Mountain,SPS,2.4,1,False,False,4.3,4315.0,,Shakes Camp,Moses Mountain,False,
Mount Russell,SPS,5.3,3,False,True,4.5,6100.0,310.0,Mount Whitney Trail,Mount Whitney,False,
Mount Tallac,SPS,23.11,1,False,False,4.6,3295.0,65.0,Mount Tallac Trail,Emerald Bay,False,
Excelsior Mountain,SPS,22.4,1,False,False,4.6,2995.0,360.0,Virginia Lakes Trail,Dunderberg Peak,False,
Mount Lola,SPS,24.5,1,False,False,4.8,1405.0,255.0,Mt Lola Trail,Indepence Lk.,False,
Thor Peak,SPS,4.8,2,False,False,4.8,4005.0,,Mount Whitney Trail,Mount Whitney,False,
Lone Pine Peak,SPS,4.9,2,False,False,4.8,5085.0,,Meysan Lakes Trail,Mount Langley,False,
Mount Johnson,SPS,14.1,2,False,False,5.0,3360.0,300.0,Bishop Pass Trail,Mount Thompson,False,
Mount Emerson,SPS,16.2,2,False,False,5.0,3955.0,,Piute Pass Trail,Mount Darwin,False,
Cloudripper,SPS,14.9,2,False,False,5.0,4295.0,50.0,North Fork Trail,Mount Thompson,False,
Tunnabora Peak,SPS,5.5,2,False,False,5.0,5365.0,300.0,Mount Whitney Trail,Mount Whitney,False,
Cartago Peak,SPS,3.2,2s3,False,False,5.0,6710.0,,West side of aquaduct,Olancha,False,
Mount Mills,SPS,17.1,3,False,False,5.1,3320.0,100.0,Mono Pass Trail,Mount Abbot,False,
Mount Rose,SPS,24.4,1,False,False,5.2,1955.0,,Mount  Rose Highway,Mount Rose,True,S-1.0
Mount Dade,SPS,17.8,2,False,False,5.3,3470.0,100.0,Mono Pass Trail,Mount Abbot,False,
Mount Abbot,SPS,17.9,3,True,False,5.3,3575.0,100.0,Mono Pass Trail,MOUNT ABBOT,False,
Mount Morgan (S),SPS,17.11,2,False,False,5.3,4340.0,300.0,Tamarack Lakes Trail,Mount Morgan,False,
Freel Peak,SPS,23.8,1,False,False,5.4,3050.0,,Fountain Place,Freel Peak,False,
Mount Gilbert,SPS,14.11,2,False,False,5.5,3675.0,380.0,Bishop Pass Trail,Mount Thompson,False,
Temple Crag,SPS,14.1,3,False,False,5.5,5475.0,300.0,South Fork Trail,Split Mountain,False,
Mount Lamarck,SPS,15.9,1,False,False,5.6,4155.0,,Lamark Lakes Trail,Mount Darwin,True,S-2.0
Bloody Mountain,SPS,18.9,2,False,False,5.6,5250.0,,Laurel Creek Trail,Bloody Mountain,False,
Rockhouse Peak,SPS,1.6,2,False,False,5.7,3035.0,520.0,Rockhouse Basin Trail,Rockhouse Basin,False,
Granite Chief,SPS,24.1,1,False,False,5.7,3380.0,620.0,Squaw Valley Fire Station,Granite Chief,False,
Mount Bradley,SPS,8.1,2,False,False,5.7,7825.0,480.0,Pinyon Creek Trail,Mount Williamson,False,
Leavitt Peak,SPS,23.2,1,False,False,5.8,2400.0,450.0,Pacific Crest Trail,Sonora Pass,True,S-1.2
Bear Creek Spire,SPS,17.7,3s4,False,True,5.8,3590.0,100.0,Mono Pass Trail,Mount Hilgard,True,S-4.2
San Joaquin Mountain,SPS,19.9,1,False,False,5.9,2340.0,,Minaret Vista Parking,Mammoth Mountain,False,
Pyramid Peak (N),SPS,23.9,2,False,False,6.0,3285.0,,Lyon Creek Trail,Pyramid Peak,False,
Mount Gould,SPS,9.4,1s3,False,False,6.0,4150.0,335.0,Kearsarge Pass Trail,Mt. Clarence King,False,
Highland Peak,SPS,23.5,2,False,False,6.1,2935.0,640.0,Pacific Crest Trail,Ebbetts Pass,False,
Muah Mountain,SPS,3.3,2,False,False,6.2,1980.0,880.0,Mulkey Stock Horseshoe Meadow Road,Bartlett,False,
Mount Goode,SPS,14.8,2,False,False,6.2,3375.0,100.0,Bishop Pass Trail,North Palisade,False,
Matterhorn Peak,SPS,22.9,2,True,False,6.2,5180.0,,Horse Creek Trail,MATTERHORN PEAK,True,S-2.1
Alta Peak,SPS,6.1,1,False,False,6.3,4060.0,80.0,Alta Peak Trail,Lodgepole,False,
Crag Peak,SPS,1.9,3,False,False,6.4,1885.0,800.0,SNF 21S36,Crag Peak,False,
Dicks Peak,SPS,23.1,2,False,False,6.5,3740.0,325.0,12N16 Parking,Rockbound Vly.,False,
Sawtooth Peak (N),SPS,2.9,2,False,False,6.5,5085.0,550.0,Sawtooth Pass Trail,Mineral King,False,
Spanish Needle,SPS,1.3,3,False,False,6.6,2520.0,,Pacific Crest Trail,Lamont Peak,False,
Disaster Peak,SPS,23.4,2,False,False,6.7,4165.0,550.0,Disaster Creek Trail,Disaster Peak,False,
Middle Palisade,SPS,12.8,3,False,True,6.7,6410.0,200.0,South Fork Trail,Split Mountain,True,S-3.2
Clouds Rest,SPS,20.7,1,False,False,6.8,2460.0,700.0,Sunrise Lakes Trail,Tenaya Lake,False,
Palisade Crest,SPS,12.1,4,False,False,6.8,5955.0,200.0,South Fork Trail,Split Mountain,False,
Norman Clyde Peak,SPS,12.9,4,False,True,6.8,6255.0,200.0,South Fork Trail,Split Mountain,True,S-4.2
Disappointment Peak,SPS,12.7,4,False,False,6.8,6315.0,200.0,South Fork Trail,Split Mountain,False,
Vandever Mountain,SPS,2.7,1,False,False,6.9,4085.0,,Farewell Gap Trail,Mineral King,False,
Mount McAdie,SPS,4.5,3,False,True,6.9,5500.0,,Mount Whitney Trail,Mount Whitney,False,
Mount Irvine,SPS,4.4,2,False,False,7.0,5580.0,100.0,Meysan Lake Trail,Mount Whitney,False,
