park,land_agency,entrance_fee,fee_conditions,fee_exemptions,gate_open,gate_close,gate_hours_conditions,source_url,verified_date,notes
Del Valle Regional Park,East Bay Regional Park District,$10,"weekends & holidays, April through Labor Day","Vehicles re-entering solely to retrieve a shuttled car after finishing a backpacking trip -- confirmed verbally, in person, by EBRPD gate/entrance staff; not found in a published fee schedule.",6:00 AM,9:00 PM,"May through Labor Day, 6am-9pm. THE CLOSING TIME IS DISPUTED AND 9PM IS KEPT AS THE STORED ANSWER -- see the del-valle-gate-close thread. ReserveAmerica's Del Valle page says 'Park entrance and campground gates close daily at 10 pm', and EBRPD's own District-wide booking alert says campground gates close at 10pm daily; the park page read on 2026-09-04 says 9pm. Two surfaces say ten and one says nine, and the nine is the oldest -- but this is kept because the costly direction is arriving at 9:30 on the strength of a ten and finding it shut, the same call made on Anthony Chabot's season. GROUP CAMPSITE GATE HOURS CHANGE SEASONALLY, per ReserveAmerica, and no seasonal band is published anywhere read. This project holds no group campsite at Del Valle at all, which is a gap in the campground list rather than in this row.",https://www.ebparks.org/parks/del-valle,2026-09-16,"Entrance fee/hours are from the official EBRPD page; the fee-exemption rule is a verbal, in-person staff confirmation, not yet independently found in writing -- treat with correspondingly lower confidence than the fee/hours figures. 7000 Del Valle Rd., Livermore, CA. Park phone 510-544-3139, distinct from the reservations line. FROM I-580 in Livermore, exit North Livermore Ave and head south through town -- it becomes South Livermore Ave, then Tesla Rd. About 1.5 miles past town turn right onto Mines Rd, go 3.5 miles, then continue straight onto Del Valle Rd where Mines Rd turns left; the entrance is about four miles on. That is roughly nine miles of back road after the freeway, which is worth knowing against a gate that shuts at nine or ten."
Anthony Chabot Regional Park,East Bay Regional Park District,No fee,"Parking is free at Anthony Chabot, which is NOT the District-wide pattern -- Del Valle charges $10 on weekends and holidays, and Lake Chabot, reached from the same brochure and connected by trail, charges $5/vehicle. Free here is a fact about this park, not about EBRPD.",,8:00 AM,10:00 PM,"Campground and group camps. General park hours are 5am-10pm, so the campground gate opens three hours after the park does. Seasonal closures may affect park hours.",https://www.ebparks.org/parks/anthony-chabot,2026-09-15,"9999 Redwood Road, Castro Valley, CA 94546. Park office (510) 690-6676, or 888-327-2757 option 3 ext. 4502 -- distinct from the reservations line. Accepts cash, Visa, MasterCard and Discover. RV sewage disposal $20/use for non-campers. No day-use parking in the campground. Main entrance is Marciel Gate on Marciel Road, off Redwood Road."
Black Diamond Mines Regional Preserve,East Bay Regional Park District,$5 per vehicle,"Charged only WHEN THE KIOSK IS ATTENDED -- seasonal, weekends and some holidays -- so the fee is neither always charged nor reliably avoidable. $5 per trailered vehicle; buses $25. Cash, Visa, MasterCard and Discover.",,8:00 AM,"varies by season, 5:00 PM to 8:00 PM -- see conditions","SEVEN SEASONAL BANDS, and this schema holds one closing time, so the bands are stated here rather than flattened into a single figure that would be wrong most of the year. Jan 1-Jan 30 8am-5pm; Jan 31-Mar 7 8am-6pm; Mar 8-Apr 3 8am-7pm; Apr 4-Sept 7 8am-8pm; Sept 8-Oct 9 8am-7pm; Oct 10-Oct 31 8am-6pm; Nov 1-Dec 31 8am-5pm. Opening is 8am in every band. A backpacker walking out from Stewartville, 3.2 miles in, has to clear the gate before it closes.",https://www.ebparks.org/parks/black-diamond,2026-09-16,"5175 Somersville Road, Antioch, CA 94509. Park office (510) 544-2750, or 888-327-2757 option 3 ext. 4506. No public WiFi. Greathouse Visitor Center is wheelchair accessible, with ADA restrooms and an accessible water fountain in the upper parking lot; accommodation requests need a week's notice on (510) 544-2750."
Briones Regional Park,East Bay Regional Park District,$5 per vehicle,"Charged when the kiosk is attended. $5 per trailered vehicle; buses $25. BRIONES ONLY ACCEPTS CASH -- no cards of any kind, which is not the District pattern: Anthony Chabot and Black Diamond both take Visa, MasterCard and Discover. Arriving with a card and no notes means not paying, at a kiosk that may or may not be staffed.",,8:00 AM,"varies by season, 5:00 PM to 8:00 PM -- see conditions","SIX SEASONAL BANDS, stated rather than flattened because one closing time would be wrong most of the year: Jan 1-31 8am-5pm; Feb 1-Mar 13 8am-6pm; Mar 14-Apr 10 8am-7pm; Apr 11-Sept 5 8am-8pm; Sept 6-Nov 6 8am-7pm; Nov 7-Dec 31 8am-5pm. Opening is 8am in every band. TWO LIMITS, NOT ONE: PARKING LOT HOURS ARE 8am TO SUNSET, which is a different constraint from the gate and binds first whenever sunset falls before the gate closes. THE BANDS ARE PUBLISHED FOR ALHAMBRA AND BEAR CREEK ONLY -- the park's other three staging areas, Briones Road, Reliez Valley and Lafayette Ridge, have no hours stated on this page, and whether they follow the same schedule is UNCONFIRMED.",https://www.ebparks.org/parks/briones,2026-09-16,"6,255 acres in Contra Costa County. Park office (510) 544-3121, or 888-327-2757 option 3 ext. 4508. FIVE STAGING AREAS, and two of them are a trap for each other: Briones Road Staging Area is at 2537 Reliez Valley Road, Martinez, while Reliez Valley Staging Area is at 1956 Reliez Valley Road, Lafayette -- different entrances, same road, names that point at each other. The others are Alhambra Staging Area at 273-181 Brookwood Dr, Martinez (called Alhambra Creek Staging Area elsewhere on the same page), Bear Creek Staging Area at 1611 Bear Creek Road, Lafayette, and Lafayette Ridge Staging Area, for which NO ADDRESS IS PUBLISHED. THREE GROUP CAMPSITES EXIST HERE, capacity 50 to 300, all with picnic tables, BBQ, fire ring and chemical toilets -- but this page names NONE of them, so no campground rows were created; naming them needs the booking system. The page states a minimum of 17 people for a group campsite, which is the District floor and NOT the per-site figure: the 2026 group camping table scales the minimum to 50 for a 100-capacity site and 100 for a 300-capacity one, and Briones' sites reach 300. THE BRIONES SPECIAL MANAGEMENT AREA is a 1,600-acre zone in the north-east of the park restricting trail use by mode and direction -- hiking only, biking only, or hiking and biking -- and ON WEEKENDS ALTERNATING BETWEEN BICYCLE AND EQUESTRIAN USE BY EVEN AND ODD CALENDAR DAYS. This project has no category for trail-use restrictions, so it is recorded here rather than as a rule. GRAZING CATTLE are in named trail areas: cows and calves in Tabletop, Spengler, Blue Oak, Buckeye, Sunrise and Lafayette Ridge; yearlings in Deer Creek, Pereirra, Valley and Briones Crest. That matters for dogs -- Ordinance 38 s.801.21 requires any animal to be leashed and under complete control where grazing animals are present."
Round Valley Regional Preserve,East Bay Regional Park District,No fee,Parking is free.,,8:00 AM,"varies by season, 5:00 PM to 8:00 PM -- see conditions","SIX SEASONAL BANDS, the third park in this project to need more than one closing time: January 8am-5pm; Feb 1-Mar 12 8am-6pm; Mar 13-Apr 17 8am-7pm; Apr 18-Sept 5 8am-8pm; Sept 6-Nov 5 8am-7pm; Nov 6-Dec 31 8am-5pm. Opening is 8am in every band. A backpacker walking out 3.4 miles from the camp has to clear the gate before it closes, and in January that is 5pm.",https://www.ebparks.org/parks/round-valley,2026-09-16,"19450 Marsh Creek Road, Brentwood, CA. 888-327-2757 option 3 ext. 4556. 2,191 acres. No public WiFi. Drinking water, restrooms and a drinking fountain at the staging area, the restrooms and fountain being wheelchair accessible. NO DOGS ANYWHERE IN THE PARK. Temperatures commonly exceed 100F in summer."
Coyote Hills Regional Park,East Bay Regional Park District,$5 per vehicle,"$5 per trailered vehicle; buses $25. Accepts cash, Visa, MasterCard, Discover AND TAP TO PAY -- the widest payment range in this project, against Briones two parks away taking cash only.",,"varies by season, 7:00 AM or 8:00 AM -- see conditions","varies by season, 6:00 PM to 8:00 PM -- see conditions","SIX SEASONAL BANDS, AND THE FIRST PARK HERE WHERE THE OPENING TIME ALSO MOVES. Black Diamond, Briones and Round Valley all open at 8am in every band, so that one figure was storable; Coyote Hills opens at 7am for five months and 8am for seven. Jan-Feb 7am-6pm; Mar 7am-7pm; Apr-Sept 8am-8pm; Oct 8am-7pm; Nov 1-27 8am-6pm; Nov 28-Dec 31 7am-6pm. A SEPARATE PARK CURFEW RUNS 10pm-5am, which is not the same thing as the gate: the gate governs vehicle entry, the curfew governs being in the park at all, and between gate close and 10pm you may be present without being able to drive in or out.",https://www.ebparks.org/parks/coyote-hills,2026-09-16,"8000 Patterson Ranch Road, Fremont, CA 94555. (510) 544-3220, or 888-327-2757 option 3 ext. 4519. 1,266 acres of marshland and grassland on the eastern shore of San Francisco Bay. Three entrances: the main entrance, Quarry Staging Area and Patterson Ranch Staging Area; nearest BART is Union City. Visitor Center 10am-4pm Wednesday to Sunday. Two disabled parking spaces at the Visitor Center, accessible stalls in both public restrooms, ADA-upgraded drinking fountains, and wheelchair-accessible chemical toilets in the Visitor Center lot and at Quarry Staging. Picnic cooking fires are limited to the metal braziers provided. The waters west and south are the Don Edwards San Francisco Bay National Wildlife Refuge, run by the U.S. Fish and Wildlife Service -- a different agency, whose land this project does not hold, and DOGS ARE NOT ALLOWED IN THE REFUGE even though Coyote Hills itself permits them. ACREAGE IS REPORTED TWO WAYS AND NO CONFLICT THREAD IS OPENED FOR IT: the park page says 1,266 acres, ReserveAmerica's listing for the same park says 978. Neither figure changes a camping plan, and the same decision was taken for the drive times that disagreed earlier -- a conflict thread is for facts that change what someone does. Recorded so that a later reader meeting 978 somewhere does not think it is a correction. COORDINATES, from ReserveAmerica: 37.5575, -122.08583. The first coordinates stored anywhere in this project, and they are in prose because no table here has a field for them -- park_access, campgrounds and campsites all lack one. ONE MORE THING FROM THAT LISTING, filed as evidence rather than as fact: it says 'Dumbarton Quarry and Ardenwood Historic Farm parks are located nearby', calling Dumbarton a PARK located NEARBY on the same day this project resolved Dumbarton Quarry Campground's park field to Coyote Hills. See the campground's own row and the ebrpd-camping-park-count thread; the resolution stands on the brochure listing it under Coyote Hills' Camping heading, but it is no longer unopposed."
Garin Regional Park,East Bay Regional Park District,$5 per vehicle,"Charged only WHEN THE KIOSK IS ATTENDED, so whether you pay depends on staffing rather than on the date -- the same wording Black Diamond and Briones carry, and no page here says what happens when it is unattended. $5 per trailered vehicle; buses $25. GARIN ONLY ACCEPTS CASH. That is the second cash-only park in this project after Briones, against Coyote Hills one park over taking Visa, MasterCard, Discover and tap to pay -- so payment method is a per-park fact in this District and cannot be carried from one park to the next.",,8:00 AM,"varies by season, 6:00 PM to 9:00 PM -- see conditions","SIX SEASONAL BANDS, AND THEY DO NOT COVER THE WHOLE YEAR. Nov 1-Mar 5 8am-6pm; Mar 6-Apr 16 8am-7pm; Apr 17-May 21 8am-8pm; May 22-Aug 27 8am-9pm; Aug 28-Sep 24 8am-8pm; Sep 25-Oct 29 8am-7pm. OCTOBER 30 AND 31 FALL IN NO BAND -- the last band ends Oct 29 and the next starts Nov 1. Two days a year have no published closing time at a park whose group camp tells you to 'check Garin gate hours and enter before closing time', and a party arriving on Halloween has nothing to check. Read as a gap in the source, not as a park that shuts: either band could be the intended one, and they differ by an hour. Opening is 8am in every band, so that figure is storable, unlike Coyote Hills. THE LATEST CLOSING TIME IN THIS PROJECT is Garin's 9pm summer band; every other park here shuts by 8pm. A SEPARATE PARK CURFEW RUNS 10pm-5am, distinct from the gate: the gate governs vehicle entry, the curfew governs being in the park at all.",https://www.ebparks.org/parks/garin,2026-09-16,"Garin: 1580 Garin Avenue, Hayward, CA 94544. Toll free 888-327-2757 option 3 extension 4530. THE ARROYO FLATS GROUP CAMP HAS A DIFFERENT STREET NUMBER ON THE SAME ROAD -- 1320 Garin Avenue, which is also the park's mailing address on ReserveAmerica, against the park page's 1580. Both are published by EBRPD. A party navigating to the wrong number is on the right road, so this is recorded rather than resolved. GARIN AND DRY CREEK PIONEER ARE TWO ADJOINING PARKS, described by EBRPD as 'two adjoining parks from former 19th Century ranches' and by ReserveAmerica as sharing 'a contiguous border with sister park Dry Creek Pioneer Regional Park'. Combined they are over 5,800 acres with more than 35 miles of trails. The camping is at Garin; nothing read gives Dry Creek Pioneer a camp of its own. See the ebrpd-camping-park-count thread -- this was the third candidate explanation for that gap and it is now evidenced. ACCESSIBILITY: wheelchair-accessible restrooms in the building by the Garin Barn, an accessible chemical toilet near Jordan Pond, accessible drinking fountains through the picnic area, and service roads around the meadows and picnic areas that are wheelchair accessible for between 0.25 and 0.5 miles. Disabled parking at the Garin lot at the end of Garin Avenue in Hayward and at the Dry Creek Garden lot at the end of May Road in Union City -- note that the second is in a different city, which is what an adjoining park looks like on the ground. The Garin Red Barn Visitor Center opens Sundays 10am-4pm, June 14 to September 6. Dry Creek Garden opens Thursday to Saturday 10am-4pm, but is CLOSED UNTIL FURTHER NOTICE for storm damage -- see advisories. CATTLE ARE GRAZED HERE: EBRPD asks that dogs be heeled or leashed past cattle, warning that chasing may injure or kill them. No cell service or WiFi is stated for the camping area. FROM THE SHARED GARIN/DRY CREEK PIONEER MAP: one brochure covers both parks. Arroyo Flats is the only Reservable Camp symbol on it. FOUR RESERVABLE GROUP PICNIC AREAS sit at the Garin Avenue staging area -- Cattlemen's, Buttonwood and Ranchside at 100 people each and Pioneer at 50 -- with picnic tables and barbecue braziers. They are NOT campgrounds and are not in campgrounds.csv, the same call made for Briones' Oak Grove, Newt Hollow and Crow. THE PICNIC LEAD TIME CONTRADICTS ITSELF IN TWO PARAGRAPHS OF ONE PAGE: 'Reservations Department takes picnic reservations up to 3 working days prior to the event -- so the last day to reserve for the weekend would be Wednesday', then 'may be reserved by phoning EBRPD Reservations ... at least 14 days in advance of the planned event'. Three days or fourteen, on one page, about the same four areas. Nothing here books a picnic area, so no conflict thread is opened -- but it is the third EBRPD lead-time disagreement this project has found, after Briones' five-business-days brochure and Coyote Hills' five working days, and it is the first where a single page disagrees with itself. Whatever number an EBRPD page gives for a deadline, phone and confirm it. Also on the map: the Chabot-to-Garin Trail connects this parkland to Anthony Chabot, Jordan Pond sits near the Union City BART side by Kite Field, and a second staging area for Dry Creek Pioneer opens off Pulaski Drive."
Dry Creek Pioneer Regional Park,East Bay Regional Park District,$5 per vehicle,"Charged only when the kiosk is attended. $5 per trailered vehicle; buses $25. ONE ASYMMETRY WORTH RECORDING AND NOT OVER-READING: Garin's page states 'Garin only accepts cash for payment' and this page, which is otherwise near-identical, says nothing about payment method at all. An absent sentence is not a statement that cards are taken. Bring cash.",,8:00 AM,"varies by season, 6:00 PM to 9:00 PM -- see conditions","IDENTICAL TO GARIN'S, BAND FOR BAND, INCLUDING THE GAP. Nov 1-Mar 5 8am-6pm; Mar 6-Apr 16 8am-7pm; Apr 17-May 21 8am-8pm; May 22-Aug 27 8am-9pm; Aug 28-Sep 24 8am-8pm; Sep 25-Oct 29 8am-7pm. OCTOBER 30 AND 31 FALL IN NO BAND here too, so the two-day hole is not a typo on one page -- EBRPD publishes the same incomplete schedule for both halves of this parkland. Park curfew 10pm-5am, as at Garin. The Dry Creek Garden parking lot is stated as open all week until dusk, which is a third time band and is not the same as either the gate or the curfew.",https://www.ebparks.org/parks/dry-creek-pioneer,2026-09-16,"Dry Creek Pioneer: 550 May Road, Union City, CA 94587. Same toll-free number and extension as Garin, 888-327-2757 option 3 ext. 4530 -- one phone line for two parks. THIS PARK HAS NO CAMPGROUND AND IS TAGGED FOR CAMPING. Its park page carries the Camping activity icon, there is no ReserveAmerica facility for it, and the single map covering both parks shows exactly one Reservable Camp symbol: Arroyo Flats, in the Garin half, keyed to the Garin Avenue Staging Area inset. See the ebrpd-camping-park-count thread -- this is the park that makes two of that conflict's three candidate explanations turn out to be the same park. HISTORY, from the park page: the Meyers sisters' 1,626-acre Dry Creek Ranch was donated to the District in 1979 and opened as Dry Creek Regional Park; the Meyers Cottage and its garden came later, on the death of the last surviving sister. The District plans eventually to open the cottage for receptions and a small visitor centre. ACCESS is the Dry Creek Staging Area at the end of May Road off Mission Blvd -- from I-880 exit Whipple Road east and continue straight onto May Road at Mission Blvd; from I-580 it is Mission Blvd for 5.9 miles then left on May Road. The map also names a DRY CREEK PIONEER STAGING AREA on the Pulaski Drive side. ACCESSIBILITY: the Dry Creek Garden lot at the end of May Road is the disabled-accessible parking for this park, and it is the lot attached to the attraction that is currently closed. The rest of the accessibility text on this page describes Garin's facilities -- the Garin Barn restrooms, the Jordan Pond chemical toilet, the picnic-area fountains -- which is what two parks sharing one page's boilerplate looks like. CATTLE ARE GRAZED HERE, same warning as Garin: heel or leash dogs past cattle, because chasing may injure or kill them."
Dr. Aurelia Reinhardt Redwood Regional Park,East Bay Regional Park District,$5 per vehicle,"THE NARROWEST FEE IN THIS PROJECT, AND THE FIRST CHARGED AT ONE ENTRANCE RATHER THAN AT A PARK. 'Fees are collected on weekends and major holidays April through October when the kiosk is staffed, and ONLY AT THE REDWOOD GATE ENTRANCE.' This park has roughly eleven staging areas and two walk-in entrances; ten of them are named on the park page and none of them takes money. So whether you pay depends on the day, the month, the staffing AND which of a dozen gates you drive to -- Skyline Gate, Canyon Meadow, Moon Gate, Pinehurst, Big Bear, MacDonald, Waterloo, Wayside, Redwood Bowl, Piedmont Stables and the Skyline Blvd/Trudeau lot are all free by this wording. Every other park row here treats the fee as a property of the park, which is wrong for this one and is a schema limit rather than a data gap: there is no per-entrance fee field. $5 per trailered vehicle; buses $25. Fees are stated as subject to change. REINHARDT REDWOOD ONLY ACCEPTS CASH -- the third cash-only park here after Garin and Briones.",,8:00 AM,"varies by season, 6:00 PM to 8:00 PM -- see conditions","FIVE BANDS, AND THE FIRST SET IN THIS PROJECT THAT COVERS THE WHOLE YEAR. Jan-Feb 8am-6pm; Mar 8am-7pm; Apr-Sept 8am-8pm; Oct 8am-7pm; Nov-Dec 8am-6pm. Garin and Dry Creek Pioneer both leave October 30 and 31 in no band; this park's months abut cleanly, which shows the two-day hole there is a defect in those pages rather than a District style. Opening is 8am in every band, so that figure is storable. These are the MAIN ENTRANCE GATE hours -- the page labels them that way, and with a dozen entrances it does not say whether the other staging areas follow them. A SEPARATE PARK CURFEW RUNS 10pm-5am.",https://www.ebparks.org/parks/reinhardt-redwood,2026-09-16,"7867 Redwood Road, Oakland, CA 94619. Toll free 888-327-2757 option 3 extension 4653. THE ONLY PARK IN THIS PROJECT WITH AN OAKLAND ADDRESS, described by EBRPD as 'a hidden gem of redwood forest off Redwood Road, just a few miles over the ridge from downtown Oakland'. Renamed in 2019 for Dr. Aurelia Henry Reinhardt, president of Mills College and one of five civic leaders elected to the District's first Board of Directors in 1934. 150-foot coast redwoods, second growth after mid-1800s logging for Bay Area building material. NEARLY 40 MILES OF TRAILS, crossed by the East Bay Skyline National Trail and the Bay Area Ridge Trail. The map shows the park bordering EBMUD land on the east -- where the EBMUD trail permit this project already holds applies -- and Anthony Chabot Regional Park to the south, so Redwood and Chabot adjoin. ENTRANCES, from the park page: Redwood Gate is the main one, on Redwood Road about two miles east of Skyline Blvd. Staging areas named are Canyon Meadow, Moon Gate, Piedmont Stables, Pinehurst, Redwood Bowl, Skyline Blvd/Trudeau Center, Skyline Gate, Waterloo and Wayside, plus Big Bear and MacDonald Gate on the map; walk-in entrances at the Redwood Equestrian Arena and at Monteiro Trail on Redwood Road. ACCESSIBILITY: some picnic sites, Canyon Meadow Staging Area and Skyline Gate Staging Area are wheelchair accessible. EBRPD points at an Access Northern California page produced with BORP and states plainly that the District has not reviewed it and does not guarantee its accuracy -- worth carrying as published, because it is an agency declining to vouch for its own link. THREE RESERVABLE PICNIC SITES for groups of 50 to 75 are NOT camps and get no campground rows, the call already made for Briones' Oak Grove and Garin's four areas. A children's play structure sits about a quarter mile down Stream Trail from Canyon Meadow. Also on the map: an archery range, Redwood Bowl and the Anna Costa amphitheatre, a Fishway Interpretive Site, and the Serpentine Prairie Resource Protection Area."
Las Trampas Wilderness Regional Preserve,East Bay Regional Park District,,"NO PARKING FEE IS PUBLISHED. The park page has no Fees section at all -- not a stated 'no fee' like Anthony Chabot's and Round Valley's, but silence, which is a different thing and is recorded as one. Absent is not free. Six of the eight EBRPD parks here charge $5 when a kiosk is attended; whether this one does and simply omits it, or genuinely does not, is unknown.",,8:00 AM,"varies by season, 5:30 PM to 8:00 PM -- see conditions","SIX BANDS, AND THIS ONE OVERLAPS WHERE GARIN'S LEAVES A HOLE. Jan 1-Feb 13 8am-5:30pm; Feb 14-March 8 8am-6pm; MARCH 8-May 20 8am-7pm; May 21-Sept 3 8am-8pm; Sept 4-Nov 1 8am-7pm; Nov 2-Dec 31 8am-5:30pm. MARCH 8 IS IN TWO BANDS AT ONCE and they disagree by an hour -- it closes at 6pm by one line and 7pm by the next. Garin and Dry Creek Pioneer leave October 30 and 31 in no band; this page puts one day in two. Both are defects in the same field on the same kind of page, in opposite directions, which is worth seeing together: EBRPD's seasonal bands are typed by hand and are not checked for coverage. Plan on 6pm on March 8, which is the earlier of the two and the one that does not strand you. 5:30PM IS THE FIRST NON-HOUR CLOSING TIME IN THIS PROJECT; every other park here shuts on the hour. NO PARK CURFEW IS PUBLISHED, unlike Garin, Dry Creek Pioneer, Coyote Hills and Reinhardt Redwood, which all state 10pm-5am. Silence again rather than an absence of one.",https://www.ebparks.org/parks/las-trampas,2026-09-16,"18012 Bollinger Canyon Road, San Ramon, CA 94583. (510) 544-3276 direct, or 888-327-2757 option 3 extension 4537. THE NAME DIFFERS BETWEEN EBRPD AND ITS OWN BOOKING SYSTEM: ebparks.org calls it Las Trampas WILDERNESS REGIONAL PRESERVE, ReserveAmerica calls it Las Trampas REGIONAL WILDERNESS. This row uses EBRPD's. Not a designated federal Wilderness despite the word, so it is stored at park scope like every other EBRPD unit here. ACREAGE IS REPORTED TWO WAYS AND NO CONFLICT THREAD IS OPENED: the park page says 6,050 acres, ReserveAmerica says 5,342. A gap of 708 acres, larger than the Coyote Hills discrepancy recorded the same way. Neither figure changes a plan. WATER IS THE PARK'S OWN HEADLINE WARNING and it is printed on the park page, the map and the booking system alike: 'The park's water supply is inconsistent and water may be unavailable at any time. Carry plenty of drinking water for yourself, your dog(s), and your horse(s).' See water_sources for the two faucets and what is known about them. ENTRANCES: Bollinger Staging Area is the main one, at the end of Bollinger Canyon Road. Others are Little Hills and Las Trampas Stables, Elworthy Entrance and Elworthy Staging Area, and Ringtail Cat Staging Area; walk-in entrances at Remington Loop and at Wingfield Court (Podva). From I-580 in Castro Valley take Crow Canyon Road north to Bollinger Canyon Road and turn left; from I-680 in San Ramon take Crow Canyon Road west and turn right. THE MAP EXTENDS THE EBMUD PERMIT'S REACH FOR THE THIRD TIME. It marks the adjoining EBMUD SAN LEANDRO WATERSHED 'Hiking permit required: call (510) 287-0459' -- a phone number this project did not have. The same permit already applies to the Chabot-to-Garin trail and the Briones Reservoir land, so it is a boundary condition of this whole District rather than a feature of one park. The map also shows the EUGENE O'NEILL NATIONAL HISTORIC SITE adjoining, which is National Park Service land -- a fifth agency touching this project's parks -- and Hap Magee Ranch Park, plus several EBRPD Land Bank parcels that are not open parkland. LAS TRAMPAS STABLES CARRIES A PHONE MARKED '911 ONLY' on the map, which is the only telephone symbol shown inside the park. PICNIC, NOT CAMPING: Steelhead and Shady picnic areas near the parking lot are first-come, first-served. The LITTLE HILLS PICNIC RANCH takes group picnics of 50 to 1,000 and is booked NOT through EBRPD Reservations but through The Ranch at Little Hills on (925) 837-8158 -- a concessionaire number on an EBRPD page, which is worth noticing beside the District's own rule that a campsite reservation obtained from anyone but EBRPD is void. That rule is about campsites and this is a picnic concession, so the two do not actually collide; recorded so nobody has to work that out twice."
