name,latitude,longitude,elevation_ft,elev_estimated,coord_source,nearest_trailhead,nearest_trailhead_side,nearest_trailhead_mi,region,notes,aliases
Smith Mountain,36.127229,-118.224235,9533,False,GNIS,Blackrock/Monache Road (21S36),east,2.0,,,
English Mountain,39.446352,-120.551138,8373,False,GNIS,Meadow Lake Road (Tollhouse Lake),west,1.9,,,
Lamont Peak,35.792046,-118.043567,7429,False,GNIS,Indian Wells Canyon (Owens Peak),east,6.6,,,
Independence Peak,36.76096,-118.331834,11742,False,GNIS,Onion Valley (Kearsarge Pass),east,0.8,,,
Taylor Dome,35.85635,-118.30342,8802,False,peakbagger,Cannell Meadow (Kernville),east,9.9,,,
Dunderberg Peak,38.064445,-119.274289,12374,False,GNIS,Virginia Lakes,east,1.2,,,
Cathedral Peak,37.847829,-119.405621,10911,False,GNIS,Tuolumne Meadows,crest,4.1,,,
Adams Peak,39.910584,-120.100105,8197,False,GNIS,Adams Peak (Constantia),east,2.6,,,
Round Top,38.663553,-120.00127,10381,False,GNIS,Woods Lake,west,2.0,,,
Mount Dana,37.899686,-119.221249,13057,False,GNIS,Tioga Pass,east,2.1,,,
Sierra Buttes,39.593538,-120.647045,8591,False,GNIS,Sierra Buttes,west,0.2,,,
Kearsarge Peak,36.789474,-118.3472,12618,False,GNIS,Onion Valley (Kearsarge Pass),east,1.3,,,
Sirretta Peak,35.924301,-118.333185,9977,False,GNIS,Cannell Meadow (Kernville),east,4.9,,,
Mount Conness,37.967053,-119.321395,12590,False,GNIS,Saddlebag Lake,east,2.7,,,
Mount Elwell,39.708193,-120.689142,7818,False,GNIS,Lakes Basin Campground,west,1.7,,,
Mount Gibbs,37.877094,-119.211836,12773,False,GNIS,Walker Lake (Bloody Canyon),east,2.9,,,
Owens Peak,35.738123,-117.996877,8453,False,GNIS,Indian Wells Canyon (Owens Peak),east,2.0,,,
Dragon Peak,36.789847,-118.375894,12927,True,GNIS,Onion Valley (Kearsarge Pass),east,2.4,,,
Mount Warren,37.989934,-119.223357,12327,False,GNIS,Saddlebag Lake,east,3.1,,,
Moses Mountain,36.278722,-118.68081,9331,False,GNIS,Hidden Falls (Moses Mountain),west,1.7,,,
Pilot Knob (S),35.728662,-118.212246,6200,True,GNIS,Canebrake (Pilot Knob),east,0.2,,,
University Peak,36.748079,-118.36187,13589,False,GNIS,Onion Valley (Kearsarge Pass),east,2.0,,,
Mount Morrison,37.561387,-118.858277,12277,False,GNIS,Convict Lake,east,1.6,,,
Sawtooth Peak (S),35.823138,-117.998651,8000,True,GNIS,Indian Wells Canyon (Owens Peak),east,7.6,,,
Castle Peak,39.366152,-120.35174,9103,False,GNIS,Castle Peak (Donner),west,1.5,,,
North Peak,37.982191,-119.315072,12242,False,GNIS,Lundy Canyon,east,1.9,,,
Stanislaus Peak,38.383989,-119.667084,11233,False,GNIS,St. Mary's Pass,crest,3.5,,,
Mount Carillon,36.592421,-118.277909,13517,True,GNIS,Whitney Portal,east,2.1,,,Mount Carillion
North Maggie Mountain,36.276772,-118.637698,10234,False,peakbagger,Hidden Falls (Moses Mountain),west,1.8,,,
Mount Russell,36.590671,-118.289036,14088,False,GNIS,Whitney Portal,east,2.7,,,
