name,side,latitude,longitude,elevation_ft,notes,wilderness_area,land_agency,agency_id,permit_group,park
Adams Peak (Constantia),east,39.91,-120.15,6850.0,"Road 24N22X off Constantia Rd near Doyle; west-side approach to Adams Peak, distinct from Frenchman Lake. Coords approximate — unverified.",,Plumas NF,plumas_nf,none,
Frenchman Lake,east,39.8989,-120.19,5600.0,Far northern Sierra; Adams Peak / Dixie Mountain,,Plumas NF,plumas_nf,none,
Mount Rose,east,39.3139,-119.8975,8900.0,Hwy 431; Mount Rose,Mount Rose Wilderness,Humboldt-Toiyabe NF,humboldt_toiyabe_nf,none,
Leavitt Meadows,east,38.3358,-119.5519,7200.0,West Walker; Leavitt/Tower country,Hoover Wilderness,Humboldt-Toiyabe NF,humboldt_toiyabe_nf,hoover,
Twin Lakes (Bridgeport),east,38.1456,-119.3733,7100.0,Mono Village; Matterhorn/Sawtooth Ridge,Hoover Wilderness,Humboldt-Toiyabe NF,humboldt_toiyabe_nf,hoover,
Virginia Lakes,east,38.048,-119.2652,9800.0,"Road's end 6mi west of Conway Summit off Hwy 395; Dunderberg Peak, Excelsior Mountain, Virginia Peak, Twin Peaks.",Hoover Wilderness,Humboldt-Toiyabe NF,humboldt_toiyabe_nf,hoover,
Lundy Canyon,east,38.0024,-119.2912,7800.0,"North of Lee Vining via Lundy Lake Rd, past Lundy Lake Resort; north-side approach to Mount Warren via Lake Canyon Trail.",Hoover Wilderness,Inyo NF,inyo_nf,inyo_hoover_nonquota,
Saddlebag Lake,east,37.9664,-119.2722,10100.0,20 Lakes Basin; Conness/North Peak,Hoover Wilderness,Inyo NF,inyo_nf,inyo_hoover_nonquota,
Tioga Pass,east,37.9106,-119.2575,9945.0,Mount Dana / Gaylor; Yosemite east entrance,Yosemite Wilderness,Yosemite NP,yosemite_np,yosemite,
Walker Lake (Bloody Canyon),east,37.8736,-119.1583,7500.0,Mono Pass (Yosemite); Gibbs/Lewis,Ansel Adams Wilderness,Inyo NF,inyo_nf,inyo_jmw_aaw,
Rush Creek (Silver Lake),east,37.7847,-119.1283,7200.0,Rush Creek; Donohue/Lyell country,Ansel Adams Wilderness,Inyo NF,inyo_nf,inyo_jmw_aaw,
Agnew Meadows,east,37.6819,-119.0847,8300.0,Ansel Adams Wilderness; Ritter/Banner/Davis,Ansel Adams Wilderness,Inyo NF,inyo_nf,inyo_jmw_aaw,
Minaret Vista,east,37.6567,-119.0613,9256.0,Accesses San Joaquin Mountain via 4x4 road toward Deadman Pass; distinct from Agnew Meadows down in the valley.,Ansel Adams Wilderness,Inyo NF,inyo_nf,inyo_jmw_aaw,
Laurel Lakes (Sherwin Creek),east,37.6235,-118.9066,8000.0,Rough road off Sherwin Creek Rd south of Mammoth Lakes; approach to Bloody Mountain.,John Muir Wilderness,Inyo NF,inyo_nf,inyo_jmw_aaw,
Duck Pass (Mammoth),east,37.5897,-118.9869,9100.0,Coldwater / Duck Pass; Mammoth Crest,John Muir Wilderness,Inyo NF,inyo_nf,inyo_jmw_aaw,
Convict Lake,east,37.5839,-118.8569,7600.0,Convict Creek; Morrison/Baldwin,John Muir Wilderness,Inyo NF,inyo_nf,inyo_jmw_aaw,
Hilton Creek,east,37.5633,-118.7568,7237.0,"TH off Hilton Creek Rd south of McGee Creek near Crowley Lake; Davis Lakes, Mt. Morgan (N), Mt. Stanford (N).",John Muir Wilderness,Inyo NF,inyo_nf,inyo_jmw_aaw,
McGee Creek,east,37.5519,-118.7964,8000.0,McGee Pass; Red Slate/Red and White,John Muir Wilderness,Inyo NF,inyo_nf,inyo_jmw_aaw,
Rock Creek Lake (Tamarack Lakes),east,37.4436,-118.7261,9700.0,"East shore of Rock Creek Lake, below Mosquito Flat; primary access for Mount Morgan (S).",John Muir Wilderness,Inyo NF,inyo_nf,inyo_jmw_aaw,
Mosquito Flat (Rock Creek),east,37.4356,-118.7472,10250.0,Mono Pass & Little Lakes Valley; Abbot/Mills,John Muir Wilderness,Inyo NF,inyo_nf,inyo_jmw_aaw,
Pine Creek,east,37.3736,-118.6986,7400.0,Pine Creek Pass; Royce/Merriam/Bear Creek Spire,John Muir Wilderness,Inyo NF,inyo_nf,inyo_jmw_aaw,
Horton Lakes (Buttermilk),east,37.3121,-118.6249,8081.0,"Off Buttermilk Rd west of Bishop; Basin Mountain, Mount Tom, Four Gables.",John Muir Wilderness,Inyo NF,inyo_nf,inyo_jmw_aaw,
North Lake (Piute/Lamarck),east,37.2294,-118.6275,9300.0,Piute Pass & Lamarck Lakes; Humphreys/Darwin,John Muir Wilderness,Inyo NF,inyo_nf,inyo_jmw_aaw,
