name,latitude,longitude,type,potable,location,notes
Lichen Bark (Del Valle),,,spigot (spring-fed),False,Del Valle (Lichen Bark),"At the trailhead itself, not a backcountry camp."
Stromer Springs,,,spigot (spring-fed),False,Del Valle (Lichen Bark),~mile 1.74 on the Ohlone Wilderness Trail; no restroom or campground here.
Boyd Camp,,,spigot (spring-fed),False,Boyd Camp,See water_source_log.csv -- an unresolved discrepancy exists between the official EBRPD page and this trip's own planning notes for this source.
Stewart's Camp,,,spigot (spring-fed),False,Stewart's Camp,
Maggie's Half Acre,,,spigot (spring-fed),False,Maggie's Half Acre,
Doe Camp,,,spigot (spring-fed),False,Doe Camp,
Sunol Backpack Camp,,,spigot (spring-fed),False,Sunol Backpack Camp,Shared by all 7 named sites at this campground.
Eagle Springs,,,spigot (spring-fed),False,Eagle Springs,
Stanford Ave Staging Area,,,spigot (spring-fed),False,Stanford Ave Staging Area,"At the trailhead/staging area itself, not a backcountry camp."
Stewartville Backpack Camp,,,horse water (non-potable),False,Stewartville Backpack Camp,"Provided for horses. EBRPD states it is non-potable and must be filtered or treated for human consumption. No availability check has been logged, and a trough 3.2 miles in is the kind of source that goes dry without announcement."
Round Valley Backpack Camp,,,piped supply,False,Round Valley Backpack Camp,"Not working as of 2026-09-15, until further notice. NON-POTABLE CONFIRMED: the park page states the site's water is non-potable and must be boiled, treated or filtered -- so the conservative False recorded earlier on no evidence is now a sourced fact. The booking system's flat 'NO WATER' describes the outage rather than contradicting the park page. Drinking water is available at the Marsh Creek staging area, 3.4 to 3.6 miles before the site."
Dairy Glen Group Camp,,,drinking fountain,True,Dairy Glen Group Camp,"THE FIRST POTABLE SOURCE IN THIS PROJECT. Every other water source here is a spigot or trough EBRPD states is non-potable; this is described as a drinking fountain at a renovated, ADA-compliant group camp, so potable is the reading rather than an assumption -- but no page says the word 'potable', and no availability check has been logged."
Arroyo Flats Group Camp,,,drinking fountain,True,Arroyo Flats Group Camp,"A drinking fountain at a PRIMITIVE group site, which is the difference from Dairy Glen's: that one sits at a renovated ADA-compliant camp, this one at a site EBRPD's own listing calls primitive with chemical toilets and no flush toilets or showers. Potable is still the reading -- a drinking fountain is for drinking -- but no page says the word, and no availability check has been logged. The second potable source in this project and the second never verified."
